Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Volkswagen,Taos,"Wheelbase 2,690 mm (105.9 in)","Layout Front-engine, front-wheel-drive",,,Transmission 5-speed manual,,,,,,,,,"""Volkswagen Tharu"" redirects here. For the smaller SUV sold in China since 2024, see Volkswagen Tharu XR.","The Taos is named after Taos, New Mexico. The Tharu name is derived afte","The Taos is named after Taos, New Mexico. The Tharu name is derived after the eponymous Tharu people, an ethnic group indigenous to Nepal and Northern India. Overview The Taos/Tharu is based on the Volkswagen Group MQB A1, with its platform closely related and several sheet metals shared with the SEAT Ateca, Škoda Karoq and the Jetta VS5. Known as the 'Project Tarek' during development, the Taos/Tharu is considered the first Chinese-developed VW product that is sold outsid",(See next page for individual MDO product offerings.) Below: the optional Panoramic Sunroo; 6-speaker system | Leather-trimmed seating,"(See next page for individual MDO product offerings.) Below: the optional Panoramic Sunroof Package (P01), available on Taos SE & SEL Compare 2022 Volkswagen Taos trims side by side to find the right vehicle for you. | [Brochure] 6-speaker system | Leather-trimmed seating"
,,,"It is offered with several powertrain options, including one electric version called the e-Tharu. The base model of the Tharu has a torsion axle, the higher versions have a multi link suspension.","Front-engine, all-wheel-drive",,,speed manual,,,,,,,,,"It is offered with several powertrain options, including one electric version called the e-Tharu. The base model of the Tharu has a torsion axle, the higher versions have a multi link suspension.","Volkswagen's Digital Cockpit system is standard on all trims, replacing the phys","Volkswagen's Digital Cockpit system is standard on all trims, replacing the physical instrument cluster dials with a reconfigurable 12.3-inch display.","of torque, and front-wheel drive as standard.; 6-speaker system | Leather-trimmed seating","of torque, and front-wheel drive as standard. | [Brochure] 6-speaker system | Leather-trimmed seating"
,,,varies by trim/option,Engine,,,speed automatic,,,,,,,,,,All trims are only available in FWD drivetrain configuration. Facelift[edit,"All trims are only available in FWD drivetrain configuration. Facelift For the 2025 model year, the Taos received a mid-cycle refresh in North America, with updated bodywork, a revised 1.5-litre turbocharged engine making 174 hp (130 kW; 176 PS), and an 8-speed automatic transmission now standard on all models. 2025 Volkswagen Taos Rear view South America Introduced on 13 October 2020, the vehicle is also sold as the Taos with an identical styling to the North American",All-wheel drive is an available option for each trim level.; 6-speaker system | Leather-trimmed seating,All-wheel drive is an available option for each trim level. | [Brochure] 6-speaker system | Leather-trimmed seating
,,,,"For the 2025 model year, the Taos received a mid-cycle refresh in North America, with updated bodywork, a revised 1.5-litre turbocharged engine making 174 hp (130 kW; 176 PS), and an 8-speed automatic transmission now standard on all models.",,,Model Displacement Power Torque Transmission Markets,,,,,,,,,,Official website (United States) show vte Volkswagen passenger cars show vte «,"Official website (United States) show vte Volkswagen passenger cars show vte « previous — Volkswagen Passenger Cars, a marque of the Volkswagen Group, car timeline, United States/Canada market, 1990–present show vte Volkswagen Passenger Cars, a marque of the Volkswagen Group, car timeline, South American market, 1980–present show vte Volkswagen Passenger Cars, a marque of the Volkswagen Group, car timeline, Chinese market, 1980s–present",,
,,,,Petrol engines,,,"TSI 150 1,395 cc I4 150 PS (110 kW; 148 hp) 250 N⋅m (184 lb⋅ft) 6-speed automatic Latin America",,,,,,,,,,Market Delivery Options (MDO) - Services ...,Market Delivery Options (MDO) - Services ...,,
,,,,"TSI 150 1,395 cc I4 150 PS (110 kW; 148 hp) 250 N⋅m (184 lb⋅ft) 6-speed automatic Latin America",,,speed automatic or 7-speed DSG Russia,,,,,,,,,,(See next page for individual MDO product offerings.) Below: the optional Panora,"(See next page for individual MDO product offerings.) Below: the optional Panoramic Sunroof Package (P01), available on Taos SE & SEL Compare 2022 Volkswagen Taos trims side by side to find the right vehicle for you.",,
,,,,"TSI 160 1,498 cc I4 160 PS (118 kW; 158 hp) 250 N⋅m (184 lb⋅ft) 8-speed automatic or 7-speed DSG United States and Canada",,,"TSI 160 1,498 cc I4 160 PS (118 kW; 158 hp) 250 N⋅m (184 lb⋅ft) 8-speed automatic or 7-speed DSG United States and Canada",,,,,,,,,,"View detailed specs, features and options for the 2022 Volkswagen Taos SE 4MOTIO","View detailed specs, features and options for the 2022 Volkswagen Taos SE 4MOTION at U.S.",,
,,,,"MPI 110 1,598 cc I4 110 PS (81 kW; 108 hp) 155 N⋅m (114 lb⋅ft) 5-speed manual or 6-speed automatic Russia",,,"MPI 110 1,598 cc I4 110 PS (81 kW; 108 hp) 155 N⋅m (114 lb⋅ft) 5-speed manual or 6-speed automatic Russia",,,,,,,,,,"2022 Volkswagen Taos Specs, Features & Options Here's everything you need to kno","2022 Volkswagen Taos Specs, Features & Options Here's everything you need to know about each trim in the 2022 Volkswagen Taos lineup.",,
,,,,"It is offered with several powertrain options, including one electric version called the e-Tharu. The base model of the Tharu has a torsion axle, the higher versions have a multi link suspension.",,,Model Series Displacement Power Torque Transmission,,,,,,,,,,Research 2022 Volkswagen Taos Utility 4D S AWD Price with Options.,Research 2022 Volkswagen Taos Utility 4D S AWD Price with Options.,,
,,,,"TSI 1,197 cc I4 118 PS (87 kW; 116 hp) 200 N⋅m (148 lb⋅ft) 6-speed manual or 7-speed DSG",,,"TSI 1,197 cc I4 118 PS (87 kW; 116 hp) 200 N⋅m (148 lb⋅ft) 6-speed manual or 7-speed DSG",,,,,,,,,,2022 VW Taos Trim Level Options The 2022 Volkswagen Taos comes in three differen,"2022 VW Taos Trim Level Options The 2022 Volkswagen Taos comes in three different trim levels: S, SE, and SEL.",,
,,,,"TSI '280 TSI' EA211 1,395 cc I4 150 PS (110 kW; 148 hp) 250 N⋅m (184 lb⋅ft) 6-speed manual or 7-speed DSG",,,"TSI '280 TSI' EA211 1,395 cc I4 150 PS (110 kW; 148 hp) 250 N⋅m (184 lb⋅ft) 6-speed manual or 7-speed DSG",,,,,,,,,,"of torque, and front-wheel drive as standard.","of torque, and front-wheel drive as standard.",,
,,,,"TSI '330 TSI' 4Motion EA888 1,984 cc I4 190 PS (140 kW; 187 hp) 320 N⋅m (236 lb⋅ft) 7-speed DSG",,,"TSI '330 TSI' 4Motion EA888 1,984 cc I4 190 PS (140 kW; 187 hp) 320 N⋅m (236 lb⋅ft) 7-speed DSG",,,,,,,,,,All-wheel drive is an available option for each trim level.,All-wheel drive is an available option for each trim level.,,
