Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2017,MINI,Cooper,Convertible,1.5L I3 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Minicompact Cars,3,1.5,27,36,30,,,,,
2017,MINI,Cooper,Convertible,1.5L I3 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Minicompact Cars,3,1.5,28,37,32,,,,,
2017,MINI,Cooper,Hardtop 2 door,1.5L I3 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,3,1.5,27,36,30,,,,,
2017,MINI,Cooper,Hardtop 2 door,1.5L I3 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,3,1.5,28,38,32,,,,,
2017,MINI,Cooper,Hardtop 4 door,1.5L I3 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,3,1.5,27,36,30,,,,,
2017,MINI,Cooper,Hardtop 4 door,1.5L I3 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,3,1.5,28,37,32,,,,,
2017,MINI,Cooper,S Convertible,2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Minicompact Cars,4,2.0,23,32,26,,,,,
2017,MINI,Cooper,S Hardtop 2 door,2.0L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,25,32,28,,,,,
2017,MINI,Cooper,S Hardtop 2 door,2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,23,32,26,,,,,
2017,MINI,Cooper,S Hardtop 4 door,2.0L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,25,32,28,,,,,
2017,MINI,Cooper,S Hardtop 4 door,2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,23,32,26,,,,,
2017,MINI,Cooper,S Convertible,2.0L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Minicompact Cars,4,2.0,25,33,28,,,,,
