Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1986,Nissan,Truck,2WD,2.0L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.0,23,29,25,,,,,,2.0L I4,
1986,Nissan,Truck,2WD,2.4L I4 ((FFS)),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.4,18,20,19,,,,,,2.4L I4,
1986,Nissan,Truck,2WD,2.4L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.4,19,24,21,,,,,,2.4L I4,
1986,Nissan,Truck,2WD,Diesel 2.5L I4 ((NO-CAT)) Diesel,Manual 5-spd,Rear-Wheel Drive,Diesel,Small Pickup Trucks,4,2.5,26,30,27,,,,,,2.5L I4,
1986,Nissan,Truck,2WD (new Version),2.4L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.4,18,23,20,,,,,,2.4L I4,
1986,Nissan,Truck,2WD (new Version),2.4L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.4,18,23,20,,,,,,2.4L I4,
1986,Nissan,Truck,2WD (new Version),3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,6,3.0,16,20,18,,,,,,3.0L V6,
1986,Nissan,Truck,2WD (new Version),3.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,6,3.0,15,22,18,,,,,,3.0L V6,
1986,Nissan,Truck,4WD,2.4L I4 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.4,17,20,18,,,,,,2.4L I4,
1986,Nissan,Truck,4WD,2.4L I4 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.4,16,20,18,,,,,,2.4L I4,
1986,Nissan,Truck,4WD (new Version),2.4L I4 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.4,16,19,17,,,,,,2.4L I4,
1986,Nissan,Truck,4WD (new Version),3.0L V6 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.0,15,19,16,,,,,,3.0L V6,
1986,Nissan,Truck,Cab Chassis 2WD,2.4L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,4,2.4,14,14,14,,,,,,2.4L I4,
1986,Nissan,Truck,Cab Chassis 2WD,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,3.0,11,11,11,,,,,,3.0L V6,
1986,Nissan,Truck,Cab Chassis 2WD,3.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,3.0,13,14,13,,,,,,3.0L V6,
