Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2014,Volkswagen,Jetta,Jetta,Diesel 2.0L I4 Diesel,Automatic (AM-S6),Front-Wheel Drive,Diesel,Compact Cars,4,2.0,29,37,32,,,,,,2.0L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,Jetta,Diesel 2.0L I4 Diesel,Manual 6-spd,Front-Wheel Drive,Diesel,Compact Cars,4,2.0,29,39,32,,,,,,2.0L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,SportWagen,Diesel 2.0L I4 Diesel,Manual 6-spd,Front-Wheel Drive,Diesel,Small Station Wagons,4,2.0,29,39,32,,,,,,2.0L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,Jetta,1.8L I4 (SIDI),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,26,36,30,,,,,,1.8L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,Jetta,1.8L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,25,36,29,,,,,,1.8L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,Jetta,2.0L I4 (SIDI),Automatic (AM-S6),Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,24,32,27,,,,,,2.0L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,Jetta,2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,23,33,26,,,,,,2.0L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,Jetta,2.0L I4,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,23,29,25,,,,,,2.0L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,Jetta,2.0L I4,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,24,34,28,,,,,,2.0L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,SportWagen,Diesel 2.0L I4 Diesel,Automatic (AM-S6),Front-Wheel Drive,Diesel,Small Station Wagons,4,2.0,29,37,32,,,,,,2.0L I4 Turbo,Turbocharged
2014,Volkswagen,Jetta,SportWagen,2.5L V5,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Small Station Wagons,5,2.5,23,30,26,,,,,,2.5L V5 Turbo,Turbocharged
2014,Volkswagen,Jetta,SportWagen,2.5L V5,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,5,2.5,23,33,26,,,,,,2.5L V5 Turbo,Turbocharged
2014,Volkswagen,Jetta,Hybrid,Hybrid 1.4L I4 (SIDI),Automatic (AM-S7),Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.4,41,48,44,,,,,,1.4L I4 Turbo,Turbocharged
