Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1988,Chevrolet,Cavalier,Convertible,2.8L V6 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.8,18,25,20,,,,,,2.8L V6,
1988,Chevrolet,Cavalier,Convertible,2.8L V6 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.8,18,27,21,,,,,,2.8L V6,
1988,Chevrolet,Cavalier,Cavalier,2.0L I4 ((121) (FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,22,29,25,,,,,,2.0L I4,
1988,Chevrolet,Cavalier,Cavalier,2.0L I4 ((121) (FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,22,33,26,,,,,,2.0L I4,
1988,Chevrolet,Cavalier,Cavalier,2.8L V6 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,6,2.8,18,25,20,,,,,,2.8L V6,
1988,Chevrolet,Cavalier,Cavalier,2.8L V6 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,6,2.8,18,27,21,,,,,,2.8L V6,
1988,Chevrolet,Cavalier,Wagon,2.0L I4 ((121) (FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,2.0,22,29,25,,,,,,2.0L I4,
1988,Chevrolet,Cavalier,Wagon,2.0L I4 ((121) (FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,2.0,22,33,26,,,,,,2.0L I4,
1988,Chevrolet,Cavalier,Wagon,2.8L V6 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,6,2.8,18,25,20,,,,,,2.8L V6,
1988,Chevrolet,Cavalier,Wagon,2.8L V6 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,6,2.8,18,27,21,,,,,,2.8L V6,
