Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1986,Chevrolet,Blazer,S10 Blazer 2WD,2.5L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,4,2.5,18,24,20,,,,,,2.5L I4 Turbo,Turbocharged
1986,Chevrolet,Blazer,S10 Blazer 2WD,2.5L I4 ((FFS)),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,4,2.5,18,24,20,,,,,,2.5L I4 Turbo,Turbocharged
1986,Chevrolet,Blazer,S10 Blazer 2WD,2.5L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,4,2.5,20,26,22,,,,,,2.5L I4 Turbo,Turbocharged
1986,Chevrolet,Blazer,S10 Blazer 2WD,2.8L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.8,15,19,17,,,,,,2.8L V6,
1986,Chevrolet,Blazer,S10 Blazer 2WD,2.8L V6 ((FFS)),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.8,15,20,17,,,,,,2.8L V6,
1986,Chevrolet,Blazer,S10 Blazer 2WD,2.8L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.8,15,21,17,,,,,,2.8L V6,
1986,Chevrolet,Blazer,K10 Blazer 4WD,5.0L V8 ((305)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,8,5.0,12,16,13,,,,,,5.0L V8,
1986,Chevrolet,Blazer,K10 Blazer 4WD,5.0L V8 ((305)),Manual 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,8,5.0,12,16,14,,,,,,5.0L V8,
1986,Chevrolet,Blazer,K10 Blazer 4WD,5.7L V8 ((350 V8) (FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,8,5.7,11,15,12,,,,,,5.7L V8,
1986,Chevrolet,Blazer,K10 Blazer 4WD,Diesel 6.2L V8 ((NO-CAT)) Diesel,Automatic 4-spd,All-Wheel Drive,Diesel,Special Purpose Vehicles,8,6.2,15,20,17,,,,,,6.2L V8,
1986,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.5L I4 ((FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,2.5,17,22,19,,,,,,2.5L I4 Turbo,Turbocharged
1986,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.5L I4 ((FFS)),Manual 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,2.5,19,23,21,,,,,,2.5L I4 Turbo,Turbocharged
1986,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.5L I4 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,2.5,18,24,20,,,,,,2.5L I4 Turbo,Turbocharged
1986,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.8L V6 ((FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,6,2.8,14,19,16,,,,,,2.8L V6,
1986,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.8L V6 ((FFS)),Manual 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,6,2.8,15,19,16,,,,,,2.8L V6,
1986,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.8L V6 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,6,2.8,15,20,17,,,,,,2.8L V6,
