Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1992,Toyota,Truck/T100,Truck 2WD,2.4L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.4,19,22,20,,,,,,2.4L I4,
1992,Toyota,Truck/T100,Truck 2WD,2.4L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.4,19,24,21,,,,,,2.4L I4,
1992,Toyota,Truck/T100,Truck 2WD,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.0,16,21,18,,,,,,3.0L V6,
1992,Toyota,Truck/T100,Truck 2WD,3.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.0,16,22,18,,,,,,3.0L V6,
1992,Toyota,Truck/T100,1-Ton Truck 2WD,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.0,16,21,18,,,,,,3.0L V6,
1992,Toyota,Truck/T100,1-Ton Truck 2WD,3.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.0,16,22,18,,,,,,3.0L V6,
1992,Toyota,Truck/T100,Truck 4WD,2.4L I4 ((FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.4,16,18,17,,,,,,2.4L I4,
1992,Toyota,Truck/T100,Truck 4WD,2.4L I4 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.4,17,20,18,,,,,,2.4L I4,
1992,Toyota,Truck/T100,Truck 4WD,3.0L V6 ((FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.0,12,16,13,,,,,,3.0L V6,
1992,Toyota,Truck/T100,Truck 4WD,3.0L V6 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.0,14,17,15,,,,,,3.0L V6,
