Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2012,BMW,7 Series,740i,3.0L V6 (SIDI),Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,17,25,20,,,,,,3.0L I6 Turbo,Turbocharged
2012,BMW,7 Series,740Li,3.0L V6 (SIDI),Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,17,25,20,,,,,,3.0L I6 Turbo,Turbocharged
2012,BMW,7 Series,750i,4.4L V8 (SIDI),Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,15,22,17,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,750i xDrive,4.4L V8 (SIDI),Automatic (S6),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,14,20,16,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,750Li,4.4L V8 (SIDI),Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,14,22,17,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,750Li xDrive,4.4L V8 (SIDI),Automatic (S6),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,14,20,16,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,Alpina B7 LWB,4.4L V8 (SIDI),Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,14,22,17,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,Alpina B7 LWB xDrive,4.4L V8 (SIDI),Automatic (S6),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,14,20,16,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,Alpina B7 SWB,4.4L V8 (SIDI),Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,14,22,17,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,Alpina B7 SWB xDrive,4.4L V8 (SIDI),Automatic (S6),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,14,20,16,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,ActiveHybrid 7,Hybrid 4.4L V8 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,17,24,20,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,ActiveHybrid 7L,Hybrid 4.4L V8 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,17,24,20,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2012,BMW,7 Series,760Li,6.0L V12 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Large Cars,12,6.0,13,19,15,,,,,,6.0L V12 Twin Turbo,Twin Turbocharged
