Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1984,Pontiac,Sunbird,2000 Sunbird Convertible,1.8L I4 ((CAL)(FFS)),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,1.8,21,29,24,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Convertible,"1.8L I4 ((FFS,TRBO))",Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,1.8,18,24,20,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Convertible,"1.8L I4 ((FFS,TRBO))",Manual 4-spd,,Regular Gasoline,Subcompact Cars,4,1.8,19,26,22,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Convertible,1.8L I4 ((CAL)(FFS)),Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,1.8,23,33,26,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,1.8L I4 ((CAL)(FFS)),Automatic 3-spd,,Regular Gasoline,Compact Cars,4,1.8,21,29,24,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,"1.8L I4 ((FFS,TRBO))",Automatic 3-spd,,Regular Gasoline,Compact Cars,4,1.8,18,24,20,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,"1.8L I4 ((FFS,TRBO))",Manual 4-spd,,Regular Gasoline,Compact Cars,4,1.8,19,26,22,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,1.8L I4 ((CAL)(FFS)),Manual 5-spd,,Regular Gasoline,Compact Cars,4,1.8,23,33,26,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,1.8L I4 ((FFS)),Manual 5-spd,,Regular Gasoline,Compact Cars,4,1.8,25,37,29,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,2.0L I4 ((FFS)),Manual 4-spd,,Regular Gasoline,Compact Cars,4,2.0,22,29,25,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Wagon,1.8L I4 ((CAL)(FFS)),Automatic 3-spd,,Regular Gasoline,Small Station Wagons,4,1.8,21,29,24,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Wagon,1.8L I4 ((CAL)(FFS)),Manual 5-spd,,Regular Gasoline,Small Station Wagons,4,1.8,23,33,26,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Wagon,2.0L I4 ((FFS)),Manual 4-spd,,Regular Gasoline,Small Station Wagons,4,2.0,22,29,25,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Convertible,1.8L I4 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,1.8,21,29,24,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Convertible,"1.8L I4 ((FFS,TRBO) CA model)",Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,1.8,18,23,20,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Convertible,"1.8L I4 ((FFS,TRBO) CA model)",Manual 4-spd,,Regular Gasoline,Subcompact Cars,4,1.8,20,26,22,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Convertible,1.8L I4 ((FFS) CA model),Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,1.8,23,32,26,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,1.8L I4 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Compact Cars,4,1.8,21,29,24,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,"1.8L I4 ((FFS,TRBO) CA model)",Automatic 3-spd,,Regular Gasoline,Compact Cars,4,1.8,18,23,20,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,"1.8L I4 ((FFS,TRBO) CA model)",Manual 4-spd,,Regular Gasoline,Compact Cars,4,1.8,20,26,22,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,1.8L I4 ((FFS) CA model),Manual 5-spd,,Regular Gasoline,Compact Cars,4,1.8,23,32,26,,,,,
1984,Pontiac,Sunbird,2000 Sunbird,2.0L I4 ((FFS) CA model),Manual 4-spd,,Regular Gasoline,Compact Cars,4,2.0,21,30,24,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Wagon,1.8L I4 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Small Station Wagons,4,1.8,21,29,24,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Wagon,1.8L I4 ((FFS) CA model),Manual 5-spd,,Regular Gasoline,Small Station Wagons,4,1.8,23,32,26,,,,,
1984,Pontiac,Sunbird,2000 Sunbird Wagon,2.0L I4 ((FFS) CA model),Manual 4-spd,,Regular Gasoline,Small Station Wagons,4,2.0,21,30,24,,,,,
