Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1995,Saab,900,Convertible,"2.0L I4 ((FFS,TRBO))",Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.0,18,24,20,,,,,,2.0L I4,
1995,Saab,900,Convertible,2.3L I4 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,18,26,20,,,,,,2.3L I4,
1995,Saab,900,Convertible,2.3L I4 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,18,26,21,,,,,,2.3L I4,
1995,Saab,900,Convertible,2.5L V6 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.5,17,24,20,,,,,,2.5L V6,
1995,Saab,900,Convertible,2.5L V6 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.5,16,23,19,,,,,,2.5L V6,
1995,Saab,900,900,"2.0L I4 ((FFS,TRBO))",Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.0,18,26,21,,,,,,2.0L I4,
1995,Saab,900,900,2.3L I4 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,18,26,20,,,,,,2.3L I4,
1995,Saab,900,900,2.3L I4 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,18,26,21,,,,,,2.3L I4,
1995,Saab,900,900,2.5L V6 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.5,17,24,20,,,,,,2.5L V6,
1995,Saab,900,900,2.5L V6 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.5,16,23,19,,,,,,2.5L V6,
