Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2009,Volkswagen,Jetta,Jetta,2.5L V5,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,5,2.5,21,30,24,,,,,
2009,Volkswagen,Jetta,Jetta,2.5L V5,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Compact Cars,5,2.5,20,29,24,,,,,
2009,Volkswagen,Jetta,Jetta,2.0L I4,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,21,31,25,,,,,
2009,Volkswagen,Jetta,Jetta,2.0L I4,Automatic (S6),Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,22,29,25,,,,,
2009,Volkswagen,Jetta,Jetta,Diesel 2.0L I4 Diesel,Automatic (S6),Front-Wheel Drive,Diesel,Compact Cars,4,2.0,29,37,32,,,,,
2009,Volkswagen,Jetta,Jetta,Diesel 2.0L I4 Diesel,Manual 6-spd,Front-Wheel Drive,Diesel,Compact Cars,4,2.0,29,39,32,,,,,
2009,Volkswagen,Jetta,SportWagen,2.5L V5,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,5,2.5,21,30,24,,,,,
2009,Volkswagen,Jetta,SportWagen,2.5L V5,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Small Station Wagons,5,2.5,20,29,24,,,,,
2009,Volkswagen,Jetta,SportWagen,2.0L I4,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Small Station Wagons,4,2.0,21,31,25,,,,,
2009,Volkswagen,Jetta,SportWagen,2.0L I4,Automatic (S6),Front-Wheel Drive,Premium Gasoline,Small Station Wagons,4,2.0,22,29,25,,,,,
2009,Volkswagen,Jetta,SportWagen,Diesel 2.0L I4 Diesel,Automatic (S6),Front-Wheel Drive,Diesel,Small Station Wagons,4,2.0,29,37,32,,,,,
2009,Volkswagen,Jetta,SportWagen,Diesel 2.0L I4 Diesel,Manual 6-spd,Front-Wheel Drive,Diesel,Small Station Wagons,4,2.0,29,39,32,,,,,
