Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2001,Toyota,Camry,Solara Convertible,2.2L I4,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.2,19,26,22,,,,,,2.2L I4,
2001,Toyota,Camry,Solara Convertible,3.0L V6,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.0,17,24,19,,,,,,3.0L V6,
2001,Toyota,Camry,Solara,2.2L I4,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.2,20,29,24,,,,,,2.2L I4,
2001,Toyota,Camry,Solara,2.2L I4,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.2,21,30,24,,,,,,2.2L I4,
2001,Toyota,Camry,Solara,3.0L V6,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,6,3.0,17,25,20,,,,,,3.0L V6,
2001,Toyota,Camry,Solara,3.0L V6,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,6,3.0,17,25,20,,,,,,3.0L V6,
2001,Toyota,Camry,Camry,2.2L I4,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,20,29,24,,,,,,2.2L I4,
2001,Toyota,Camry,Camry,2.2L I4,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,21,30,24,,,,,,2.2L I4,
2001,Toyota,Camry,Camry,3.0L V6,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.0,17,25,20,,,,,,3.0L V6,
2001,Toyota,Camry,Camry,3.0L V6,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.0,17,25,20,,,,,,3.0L V6,
2001,Toyota,Camry,CNG,CNG 2.2L I4 Natural Gas,Automatic 4-spd,Front-Wheel Drive,Natural Gas,Compact Cars,4,2.2,19,28,22,,,,,,2.2L I4,
