Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1984,Ford,E250 Econoline,2WD,4.9L V6 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",6,4.9,12,14,13,,,,,
1984,Ford,E250 Econoline,2WD,4.9L V6 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",6,4.9,11,15,13,,,,,
1984,Ford,E250 Econoline,2WD,4.9L V6 ((FFS)),Manual 3-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",6,4.9,14,15,14,,,,,
1984,Ford,E250 Econoline,2WD,5.0L V8,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",8,5.0,11,15,13,,,,,
1984,Ford,E250 Econoline,2WD,5.8L V8 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",8,5.8,10,11,10,,,,,
1984,Ford,E250 Econoline,2WD,5.8L V8,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",8,5.8,10,12,11,,,,,
1984,Ford,E250 Econoline,2WD,4.9L V6 ((FFS) CA model),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",6,4.9,12,15,13,,,,,
1984,Ford,E250 Econoline,2WD,4.9L V6 ((FFS) CA model),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",6,4.9,12,15,13,,,,,
1984,Ford,E250 Econoline,2WD,4.9L V6 ((FFS) CA model),Manual 3-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",6,4.9,13,15,14,,,,,
1984,Ford,E250 Econoline,2WD,5.0L V8 ((FFS) CA model),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",8,5.0,11,14,12,,,,,
1984,Ford,E250 Econoline,2WD,5.8L V8 ((FFS) CA model),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,"Vans, Cargo Type",8,5.8,9,10,9,,,,,
