Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1985,Ford,Mustang,Mustang,2.3L I4 ((FFS) CA model),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,18,22,20,,,,,,2.3L I4 Turbo,Turbocharged
1985,Ford,Mustang,Mustang,2.3L I4 ((FFS) CA model),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,21,26,23,,,,,,2.3L I4 Turbo,Turbocharged
1985,Ford,Mustang,Mustang,"2.3L I4 ((FFS,TRBO) CA model)",Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,17,24,19,,,,,,2.3L I4 Turbo,Turbocharged
1985,Ford,Mustang,Mustang,3.8L V6 ((FFS) CA model),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.8,17,21,18,,,,,,3.8L V6,
1985,Ford,Mustang,Mustang,2.3L I4 ((FFS)),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,19,23,20,,,,,,2.3L I4 Turbo,Turbocharged
1985,Ford,Mustang,Mustang,2.3L I4 ((FFS)),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,21,27,23,,,,,,2.3L I4 Turbo,Turbocharged
1985,Ford,Mustang,Mustang,"2.3L I4 ((FFS,TRBO))",Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,17,24,19,,,,,,2.3L I4 Turbo,Turbocharged
1985,Ford,Mustang,Mustang,3.8L V6 ((FFS)),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.8,17,20,18,,,,,,3.8L V6,
1985,Ford,Mustang,Mustang,5.0L V8,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,8,5.0,15,22,17,,,,,,5.0L V8,
1985,Ford,Mustang,Mustang,5.0L V8 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,8,5.0,15,22,17,,,,,,5.0L V8,
