Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2013,BMW,5 Series,528i,2.0L I4 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,4,2.0,24,33,27,,,,,,2.0L I4 Turbo,Turbocharged
2013,BMW,5 Series,528i xDrive,2.0L I4 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Midsize Cars,4,2.0,22,32,26,,,,,,2.0L I4 Turbo,Turbocharged
2013,BMW,5 Series,535i,3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.0,20,30,24,,,,,,3.0L I6 Turbo,Turbocharged
2013,BMW,5 Series,535i,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.0,20,29,23,,,,,,3.0L I6 Turbo,Turbocharged
2013,BMW,5 Series,535i xDrive,3.0L V6 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.0,21,29,24,,,,,,3.0L I6 Turbo,Turbocharged
2013,BMW,5 Series,550i,4.4L V8 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,17,25,20,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2013,BMW,5 Series,550i,4.4L V8 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,15,22,17,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2013,BMW,5 Series,535i Gran Turismo,3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,20,30,24,,,,,,3.0L I6 Turbo,Turbocharged
2013,BMW,5 Series,ActiveHybrid 5,Hybrid 3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.0,23,30,26,,,,,,3.0L I6 Turbo,Turbocharged
2013,BMW,5 Series,550i xDrive,4.4L V8 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,16,24,19,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2013,BMW,5 Series,535i xDrive Gran Turismo,3.0L V6 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,18,26,21,,,,,,3.0L I6 Turbo,Turbocharged
2013,BMW,5 Series,550i Gran Turismo,4.4L V8 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,16,24,19,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
2013,BMW,5 Series,550i xDrive Gran Turismo,4.4L V8 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,16,24,19,,,,,,4.4L V8 Twin Turbo,Twin Turbocharged
