Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1984,Mercury,Cougar,Cougar,"2.3L I4 ((FFS,TRBO))",2.3L I4,,Automatic 3-spd,,Regular Gasoline,Compact Cars,4,2.3,16,20,18,,,,,
1984,Mercury,Cougar,Cougar,"2.3L I4 ((FFS,TRBO))",2.3L I4,,Manual 5-spd,,Regular Gasoline,Compact Cars,4,2.3,17,24,19,,,,,
1984,Mercury,Cougar,Cougar,3.8L V6 ((FFS)),3.8L V6,,Automatic 3-spd,,Regular Gasoline,Compact Cars,6,3.8,16,20,17,,,,,
1984,Mercury,Cougar,Cougar,3.8L V6 ((FFS)),3.8L V6,,Automatic 4-spd,,Regular Gasoline,Compact Cars,6,3.8,17,23,19,,,,,
1984,Mercury,Cougar,Cougar,5.0L V8 ((FFS)),5.0L V8,,Automatic 4-spd,,Regular Gasoline,Compact Cars,8,5.0,15,22,17,,,,,
1984,Mercury,Cougar,Cougar,"2.3L I4 ((FFS,TRBO) CA model)",2.3L I4,,Automatic 3-spd,,Regular Gasoline,Compact Cars,4,2.3,16,20,18,,,,,
1984,Mercury,Cougar,Cougar,"2.3L I4 ((FFS,TRBO) CA model)",2.3L I4,,Manual 5-spd,,Regular Gasoline,Compact Cars,4,2.3,17,23,19,,,,,
1984,Mercury,Cougar,Cougar,3.8L V6 ((FFS) CA model),3.8L V6,,Automatic 3-spd,,Regular Gasoline,Compact Cars,6,3.8,16,20,18,,,,,
1984,Mercury,Cougar,Cougar,3.8L V6 ((FFS) CA model),3.8L V6,,Automatic 4-spd,,Regular Gasoline,Compact Cars,6,3.8,17,22,19,,,,,
1984,Mercury,Cougar,Cougar,5.0L V8 ((FFS) CA model),5.0L V8,,Automatic 4-spd,,Regular Gasoline,Compact Cars,8,5.0,14,20,16,,,,,
