Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2011,BMW,5 Series,528i,3.0L V6,3.0L I6 Turbo,Turbocharged,Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.0,21,31,25,,,,,
2011,BMW,5 Series,535i,3.0L V6 (SIDI),3.0L I6 Turbo,Turbocharged,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.0,19,28,22,,,,,
2011,BMW,5 Series,550i,4.4L V8 (SIDI),4.4L V8 Twin Turbo,Twin Turbocharged,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,15,22,17,,,,,
2011,BMW,5 Series,550i,4.4L V8 (SIDI),4.4L V8 Twin Turbo,Twin Turbocharged,Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,17,25,20,,,,,
2011,BMW,5 Series,535i,3.0L V6 (SIDI),3.0L I6 Turbo,Turbocharged,Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.0,20,30,24,,,,,
2011,BMW,5 Series,535i xDrive,3.0L V6 (SIDI),3.0L I6 Turbo,Turbocharged,Automatic (S8),All-Wheel Drive,Premium Gasoline,Midsize Cars,6,3.0,20,28,23,,,,,
2011,BMW,5 Series,550i xDrive,4.4L V8 (SIDI),4.4L V8 Twin Turbo,Twin Turbocharged,Automatic (S8),All-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,16,24,18,,,,,
2011,BMW,5 Series,535i Gran Turismo,3.0L V6 (SIDI),3.0L I6 Turbo,Turbocharged,Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,20,30,24,,,,,
2011,BMW,5 Series,535i xDrive Gran Turismo,3.0L V6 (SIDI),3.0L I6 Turbo,Turbocharged,Automatic (S8),All-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,18,27,21,,,,,
2011,BMW,5 Series,550i Gran Turismo,4.4L V8 (SIDI),4.4L V8 Twin Turbo,Twin Turbocharged,Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,15,22,18,,,,,
2011,BMW,5 Series,550i xDrive Gran Turismo,4.4L V8 (SIDI),4.4L V8 Twin Turbo,Twin Turbocharged,Automatic (S8),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.4,15,22,18,,,,,
