Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1984,Volkswagen,Jetta,Jetta,Diesel 1.6L I4 ((DIESEL)) Diesel,1.6L I4 Turbo,Turbocharged,Manual 5-spd,,Diesel,Subcompact Cars,4,1.6,33,37,35,,,,,
1984,Volkswagen,Jetta,Jetta,"Diesel 1.6L I4 ((DSL,TRBO)) Diesel",1.6L I4 Turbo,Turbocharged,Manual 5-spd,,Diesel,Subcompact Cars,4,1.6,31,38,34,,,,,
1984,Volkswagen,Jetta,Jetta,1.7L I4 ((FFS)),1.7L I4 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,1.7,20,24,21,,,,,
1984,Volkswagen,Jetta,Jetta,1.7L I4 ((FFS)),1.7L I4 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,1.7,20,24,21,,,,,
1984,Volkswagen,Jetta,Jetta,1.7L I4 ((FFS)),1.7L I4 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,1.7,23,30,26,,,,,
1984,Volkswagen,Jetta,Jetta,1.7L I4 ((FFS)),1.7L I4 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,1.7,23,30,25,,,,,
1984,Volkswagen,Jetta,Jetta,1.8L I4 ((FFS)),1.8L I4 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,1.8,21,26,23,,,,,
1984,Volkswagen,Jetta,Jetta,Diesel 1.6L I4 ((DIESEL) CA model) Diesel,1.6L I4 Turbo,Turbocharged,Manual 4-spd,,Diesel,Subcompact Cars,4,1.6,35,41,37,,,,,
1984,Volkswagen,Jetta,Jetta,"Diesel 1.6L I4 ((DSL,TRBO) CA model) Diesel",1.6L I4 Turbo,Turbocharged,Manual 5-spd,,Diesel,Subcompact Cars,4,1.6,31,38,34,,,,,
1984,Volkswagen,Jetta,Jetta,"Diesel 1.6L I4 ((DSL,TRBO) CA model) Diesel",1.6L I4 Turbo,Turbocharged,Manual 5-spd,,Diesel,Subcompact Cars,4,1.6,31,38,33,,,,,
1984,Volkswagen,Jetta,Jetta,1.7L I4 ((FFS) CA model),1.7L I4 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,1.7,20,24,21,,,,,
1984,Volkswagen,Jetta,Jetta,1.7L I4 ((FFS) CA model),1.7L I4 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,1.7,20,24,21,,,,,
1984,Volkswagen,Jetta,Jetta,1.7L I4 ((FFS) CA model),1.7L I4 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,1.7,22,29,25,,,,,
1984,Volkswagen,Jetta,Jetta,1.7L I4 ((FFS) CA model),1.7L I4 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,1.7,22,29,25,,,,,
1984,Volkswagen,Jetta,Jetta,1.8L I4 ((FFS) CA model),1.8L I4 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,1.8,21,26,23,,,,,
