Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1986,Ford,F150,Pickup 2WD,4.9L V6 ((FFS)),4.9L V6 Twin Turbo,Twin Turbocharged,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.9,14,17,15,,,,,
1986,Ford,F150,Pickup 2WD,4.9L V6 ((FFS)),4.9L V6 Twin Turbo,Twin Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.9,15,20,17,,,,,
1986,Ford,F150,Pickup 2WD,4.9L V6 ((FFS)),4.9L V6 Twin Turbo,Twin Turbocharged,Manual 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.9,15,17,16,,,,,
1986,Ford,F150,Pickup 2WD,4.9L V6 ((FFS)),4.9L V6 Twin Turbo,Twin Turbocharged,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.9,18,23,20,,,,,
1986,Ford,F150,Pickup 2WD,5.0L V8 ((FFS)),5.0L V8,,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,12,14,13,,,,,
1986,Ford,F150,Pickup 2WD,5.0L V8 ((FFS)),5.0L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,14,17,15,,,,,
1986,Ford,F150,Pickup 2WD,5.0L V8 ((FFS)),5.0L V8,,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,15,20,16,,,,,
1986,Ford,F150,Pickup 2WD,5.0L V8 ((FFS)),5.0L V8,,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,13,14,13,,,,,
1986,Ford,F150,Pickup 2WD,5.8L V8 ((FFS)),5.8L V8,,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.8,11,14,12,,,,,
1986,Ford,F150,Pickup 4WD,4.9L V6 ((FFS)),4.9L V6 Twin Turbo,Twin Turbocharged,Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.9,14,14,14,,,,,
1986,Ford,F150,Pickup 4WD,4.9L V6 ((FFS)),4.9L V6 Twin Turbo,Twin Turbocharged,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.9,15,19,17,,,,,
1986,Ford,F150,Pickup 4WD,4.9L V6 ((FFS)),4.9L V6 Twin Turbo,Twin Turbocharged,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.9,15,16,15,,,,,
1986,Ford,F150,Pickup 4WD,5.0L V8 ((FFS)),5.0L V8,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,12,17,14,,,,,
1986,Ford,F150,Pickup 4WD,5.0L V8 ((FFS)),5.0L V8,,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,14,17,15,,,,,
1986,Ford,F150,Pickup 4WD,5.0L V8 ((FFS)),5.0L V8,,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,12,14,13,,,,,
1986,Ford,F150,Pickup 4WD,5.8L V8 ((FFS)),5.8L V8,,Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.8,11,12,11,,,,,
1986,Ford,F150,Pickup 2WD,4.9L V6 ((FFS)),4.9L V6 Twin Turbo,Twin Turbocharged,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.9,15,17,16,,,,,
