Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Mercedes,GLE-Class,"Wheelbase 2,819 mm (111.0 in)","Layout Front-engine, rear-wheel-drive or four-wheel-drive (4Matic)",,,Transmission 5-speed manual,Hybrid drivetrain Two-mode hybrid drive Parallel Hybrid (ML450 Hybrid),,,,,,,,"The previous Popemobile was based on a W163 series ML 430 and has been in service since July 2002. Volkswagen had offered to build a new vehicle based on the Touareg, but Pope Benedict XVI opted to continue using his predecessor's Mercedes-Benz-manufactured vehicle.","Nomenclature update from M to GLE Although grouped under the ""M-Class"" na","Nomenclature update from M to GLE Although grouped under the ""M-Class"" naming banner since the first launch, BMW, who sells M models such as the M3, objected to the car being badged ""M"" with the three-digit engine level afterwards (e.g.",,
,,,"Wheelbase 2,913 mm (114.7 in)",–3.7 L M112 V6,,,Model Years Displacement Configuration Power Torque 0–100 km/h (0–62 mph) Top speed,"Hybrid drivetrain Plug-in hybrid (GLE 350e, GLE 350de, GLE 400e, and AMG GLE 53 Hybrid)",,,,,,,,ML 280 CDI 4MATIC / ML 300 CDI 4MATIC BLUEEFFICIENCY 2005-2010 2987 cc V6 Turbo 141 kW (192 PS; 189 hp) 440 N⋅m (325 lbf⋅ft) 10.4 seconds 205 km/h (127 mph),"It also received the World Car Award in March 1999, voted by an international ju","It also received the World Car Award in March 1999, voted by an international jury of automotive journalists in Geneva. Despite the accolades, Mercedes-Benz received considerable criticism with respect to the substandard quality of the W163, resulting in the car being nicknamed Alabama Trashcan. Quality improved over the years, especially after the facelift in 2001 for the 2002 model year.",,
,,,The previous Popemobile was based on the 2012 M-Class and was delivered in December 2012.,L OM612 turbo I5,,,Model Years Configuration Displacement Power Torque 0–100 km/h (0–62 mph) Top speed,,,,,,,,,Mercedes-Benz ML 250 BlueTEC (Australia),"This facelift includes new front headlights, redesigned front and rear bumpers,","This facelift includes new front headlights, redesigned front and rear bumpers, new exterior mirrors, new rim choices, a larger front grille, restyled interior, and a new ML 420 CDI engine choice.",,
,,,"Wheelbase 2,995 mm (117.9 in)",L OM628 turbo V8,,,speed 9G-Tronic automatic,,,,,,,,,The previous Popemobile was based on the 2012 M-Class and was delivered in December 2012.,"The vehicle had cosmetic changes, including specially-manufactured 22-inch 10 sp","The vehicle had cosmetic changes, including specially-manufactured 22-inch 10 spoke wheels, black leather with white stitching, and smokers package with Grand Edition modeling.",,
,,,Roadsters/sports cars,"ML 430 1999–2001 4.3 L (4,266 cc) V8 200 kW (272 PS; 268 hp) 400 N⋅m (295 lbf⋅ft) 8.4 seconds 210 km/h (130 mph)",,,,,,,,,,,,BionicBlueZEROC111C112ConceptFASCINATIONEQESF 2009 Experimental Safety VehicleF-CellF-Cell RoadsterF100F125F200 ImaginationF700F800Ocean DriveSilver LightningVario Research CarVision CLSVision EQXXVision SLAESF 2019Vision Mercedes-Maybach 6Concept EQG,A 48V electric system like in the GLE 450 features EQ Boost for an extra 21 hp (,"A 48V electric system like in the GLE 450 features EQ Boost for an extra 21 hp (16 kW) and 184 lb⋅ft (249 N⋅m) torque on demand. For the first time under the ""GLE"" name, the GLE also adds a seven-seat option.",,
,,,,"ML 500 2001–2005 5.0 L (4,966 cc) 215 kW (292 PS; 288 hp) 440 N⋅m (325 lbf⋅ft) 7.7 seconds 222 km/h (138 mph)",,,,,,,,,,,,,The vehicle can be equipped with a 60 kW quick charging option.,The vehicle can be equipped with a 60 kW quick charging option.,,
,,,,,,,,,,,,,,,,,group-media.mercedes-benz.com.,group-media.mercedes-benz.com.,,
,,,,,,,,,,,,,,,,,"right to make changes at any time, without notice, to colors, materials, equipme","right to make changes at any time, without notice, to colors, materials, equipment, special specifications and models.",,
,,,,,,,,,,,,,,,,,"For a wider range of equipment and accessories available, please approach our sa","For a wider range of equipment and accessories available, please approach our sales personnel.",,
,,,,,,,,,,,,,,,,,The 2023 Mercedes-Benz GLE-Class is back to a full complement of five powertrain,The 2023 Mercedes-Benz GLE-Class is back to a full complement of five powertrain options.,,
,,,,,,,,,,,,,,,,,"Aug 20, 2024The 2023 Mercedes-Benz GLE-Class sets a new standard for luxury and","Aug 20, 2024The 2023 Mercedes-Benz GLE-Class sets a new standard for luxury and versatility in the midsize SUV segment.",,
,,,,,,,,,,,,,,,,,"With its diverse configurations, potent engine options, and advanced safety and","With its diverse configurations, potent engine options, and advanced safety and technology features, the GLE-Class caters to the most discerning drivers.",,
,,,,,,,,,,,,,,,,,"2023 Mercedes-Benz GLE 350 4Matic: $60,200 The GLE 350 4Matic adds AWD but inclu","2023 Mercedes-Benz GLE 350 4Matic: $60,200 The GLE 350 4Matic adds AWD but includes the same standard and optional equipment as the GLE 350.",,
,,,,,,,,,,,,,,,,,Printed Operator's Manual Maintenance Booklet Supplementary manuals relating to,Printed Operator's Manual Maintenance Booklet Supplementary manuals relating to specific equipment vehicle at all times.,,
