Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,"Wheelbase 2,600 mm (102.4 in)","Front-engine, all-wheel-drive",speed manual,s (FWD),"Electric Lite / Electric SE 2018–2023 1-speed reduction gear 136 PS (100 kW; 134 hp) @ 2,600–8,000 rpm 40.15 kg⋅m (394 N⋅m; 290 lbf⋅ft) @ 0–2,400 rpm 9.7s–9.9s 155 km/h (96 mph)","It is available with petrol, mild hybrid, hybrid and battery electric models, wh","It is available with petrol, mild hybrid, hybrid and battery electric models, while diesel engine options are no longer offered. According to Hyundai, the second-generation Kona was first designed as a battery electric vehicle before being adapted for other variants.",,
,,,s (Premium),"Front-motor, front-wheel-drive (electric)",speed A6F22 automatic,s (AWD),speed reduction gear,"With the second-row seat folded, the vehicle has 466 litres (16.5 cu ft) of boot","With the second-row seat folded, the vehicle has 466 litres (16.5 cu ft) of boot space (VDA standard) or 723 litres (25.5 cu ft) (SAE standard).",,
,,,Headlights (varies by trim/option) Good Poor,"Czech Republic: Nošovice (HMMC, electric only)",speed D6KF1 DCT (hybrid),km/h (130 mph) (FWD),"The second-generation Kona was revealed in December 2022. It is available with petrol, mild hybrid, hybrid and battery electric models, while diesel engine options are no longer offered.","Hyundai claims a 10-80% state of charge can be accomplished in 41 minutes, again","Hyundai claims a 10-80% state of charge can be accomplished in 41 minutes, against the 18 minutes it claims for some of their 800V models. It also includes vehicle-to-load (V2L) support, with different maximum outputs depending on the market.",,
,,,"Wheelbase 2,660 mm (104.7 in)","India: Chennai (HMIL, electric only)",speed D7UF1 DCT,km/h (127 mph) (AWD),"Two battery capacities are offered, which are 48.4 kWh (Standard Range) and 65.4 kWh (Long Range) powering a front-mounted electric motor.",Five powertrain options are available: 1.0-litre T-GDi turbocharged petrol with,"Five powertrain options are available: 1.0-litre T-GDi turbocharged petrol with a 48 volt mild hybrid system, 1.6-litre T-GDi turbocharged petrol, 1.6-litre Hybrid petrol and an Electric version with two battery options.",,
,,,"The second-generation Kona was launched in Brunei on 17 May 2024, in a sole N Line variant powered by a 1.6-litre turbocharged petrol engine. The base 2.0-litre model was added in 30 May 2025.",Engine,speed D8LF1 DCT,km/h (120 mph) (FWD),"The second-generation Kona was launched in Brunei on 17 May 2024, in a sole N Line variant powered by a 1.6-litre turbocharged petrol engine. The base 2.0-litre model was added in 30 May 2025.",The all-wheel drive option is available for the 1.6-litre T-GDi petrol engine.,The all-wheel drive option is available for the 1.6-litre T-GDi petrol engine.,,
,,,"The Kona EV was launched in Japan in November 2023 in three trims: Casual, Voyage, and Lounge, with the N-Line model introduced later.",L Smartstream G1.0 T-GDi I3 (Mild hybrid),Single-speed (electric),s (FWD DCT),"The second-generation Kona was launched in the Philippines on 20 June 2025, it is available in two trim levels: GLS and Premium, powered by the 1.6-litre Hybrid petrol powertrain.","Three powertrain options are available: 2.0-litre MPi petrol, 1.6-litre T-GDi tu","Three powertrain options are available: 2.0-litre MPi petrol, 1.6-litre T-GDi turbocharged petrol, and the Electric version (with either Standard Range and Long Range battery options).",,
,,,"The second-generation Kona was launched in the Philippines on 20 June 2025, it is available in two trim levels: GLS and Premium, powered by the 1.6-litre Hybrid petrol powertrain.",Petrol hybrid:,Model Year Transmission Power Torque 0–100 km/h,s (AWD DCT),SEL Preferred,Trims United States Canada SE Essential SEL Preferred N Line Lim,"Trims United States Canada SE Essential SEL Preferred N Line Limited N/A In August 2024, for the 2025 model year, the N Line S trim was introduced to sit below the N Line trim, the SEL trim equipped with the Convenience package became a standalone trim level, and the N Line trim was made available for the Kona Electric model. In July 2025, for the 2026 model year, the SEL Sport and SLE Convenience trims were introduced.",,
,,,Trims,L Smartstream G1.6 Hybrid GDi HEV I4,(Official) Top speed,km/h (120 mph) (manual/FWD DCT),Standard Range 2023–present 1-speed reduction gear 135 PS (99 kW; 133 hp) 26 kg⋅m (255 N⋅m; 188 lbf⋅ft),"Also for the 2026 model year, the SEL, Limited, and N Line trims were discontinu","Also for the 2026 model year, the SEL, Limited, and N Line trims were discontinued for the Kona Electric models as well as the Long Range battery option. Oceania Australia The second-generation Kona was launched in Australia on 7 July 2023, with four trim levels: Base, Premium, N Line and N Line Premium.",,
