Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1985,Chevrolet,Celebrity,Celebrity,2.8L V6 ((FFS) CA model),2.8L V6,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,17,24,19,,,,,
1985,Chevrolet,Celebrity,Celebrity,Diesel 4.3L V6 (CA model) Diesel,4.3L V6,,Automatic 3-spd,Front-Wheel Drive,Diesel,Midsize Cars,6,4.3,23,31,26,,,,,
1985,Chevrolet,Celebrity,Wagon,2.8L V6 ((FFS) CA model),2.8L V6,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,16,23,19,,,,,
1985,Chevrolet,Celebrity,Wagon,Diesel 4.3L V6 (CA model) Diesel,4.3L V6,,Automatic 3-spd,Front-Wheel Drive,Diesel,Midsize-Large Station Wagons,6,4.3,23,31,26,,,,,
1985,Chevrolet,Celebrity,Celebrity,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.5,21,29,24,,,,,
1985,Chevrolet,Celebrity,Celebrity,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.5,21,29,24,,,,,
1985,Chevrolet,Celebrity,Celebrity,2.8L V6 ((FFS)),2.8L V6,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,18,24,20,,,,,
1985,Chevrolet,Celebrity,Celebrity,2.8L V6 ((FFS)),2.8L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,17,24,20,,,,,
1985,Chevrolet,Celebrity,Celebrity,2.8L V6 ((FFS)),2.8L V6,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,18,24,20,,,,,
1985,Chevrolet,Celebrity,Celebrity,2.8L V6 ((FFS)),2.8L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,17,26,20,,,,,
1985,Chevrolet,Celebrity,Celebrity,Diesel 4.3L V6 Diesel,4.3L V6,,Automatic 3-spd,Front-Wheel Drive,Diesel,Midsize Cars,6,4.3,23,32,26,,,,,
1985,Chevrolet,Celebrity,Wagon,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.5,21,29,24,,,,,
1985,Chevrolet,Celebrity,Wagon,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.5,21,29,24,,,,,
1985,Chevrolet,Celebrity,Wagon,2.8L V6 ((FFS)),2.8L V6,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,16,22,18,,,,,
1985,Chevrolet,Celebrity,Wagon,2.8L V6 ((FFS)),2.8L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,16,23,19,,,,,
1985,Chevrolet,Celebrity,Wagon,2.8L V6 ((FFS)),2.8L V6,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,17,23,19,,,,,
1985,Chevrolet,Celebrity,Wagon,2.8L V6 ((FFS)),2.8L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,17,24,20,,,,,
1985,Chevrolet,Celebrity,Wagon,Diesel 4.3L V6 Diesel,4.3L V6,,Automatic 3-spd,Front-Wheel Drive,Diesel,Midsize-Large Station Wagons,6,4.3,23,32,26,,,,,
