Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,Ford,Ecosport,Ford EcoSport,"Layout Front-engine, front-wheel-drive or all-wheel-drive",Transmission 5/6-speed manual,All models have front-wheel drive with manual transmission as standard. The 2.0 L model can also receive a four speed automatic transmission (FWD only) or four-wheel drive (manual six speed only).,The Ford EcoSport (/ˈɛkoʊspɔːrt/ EK-oh-sport)[1] is a subcompact crossover SUV (B-segment) manufactured by Ford between 2003 and 2022.,"In 2011, cumulative sales reached 700,000.[4] Versions and engines[edit] The E","In 2011, cumulative sales reached 700,000.[4] Versions and engines[edit] The EcoSport was available with five straight-four engines: Zetec-Rocam 1.0 L gasoline 8v supercharged, 70 kW (95 PS) (discontinued in 2006) Zetec-Rocam 1.6 8v gasoline/ethanol, 82 kW (111 PS) Duratec 2.0 L gasoline 16v 107 kW (145 PS) Duratorq 1.4 L TDCi Diesel, 50 kW (68 PS) (export only) All models have front-wheel drive with manual transmission as standard.","There is the 301A package which comes with rear parking sensors, a leather-wrapped steerin","There is the 301A package which comes with rear parking sensors, a leather-wrapped steering wheel, a 110-volt power outlet, an auto-dimming rearview mirror, and your choice of a Sport, Chrome, or Black exterior appearance package."
,,,The Ford EcoSport (/ˈɛkoʊspɔːrt/ EK-oh-sport)[1] is a subcompact crossover SUV (B-segment) manufactured by Ford between 2003 and 2022.,Engine,speed automatic,,L EcoBlue (Panther) turbo I4,The front suspension received minor reinforcements but remained the same MacPher,The front suspension received minor reinforcements but remained the same MacPherson strut system used in the standard version.,,
,,,"Wheelbase 2,490 mm (98.0 in)",Diesel:,All models have front-wheel drive with manual transmission as standard. The 2.0 L model can also receive a four speed automatic transmission (FWD only) or four-wheel drive (manual six speed only).,,"The three-cylinder engine design causes inherent vibrations, which are countered by a deliberately unbalanced flywheel, which has less friction than balance shafts.","The driveshaft was installed inside the central tunnel, occupying the space norm","The driveshaft was installed inside the central tunnel, occupying the space normally used by the exhaust system in the standard model.",,
,,,"The first generation EcoSport was designed by Ford Brazil Development Center under the program code BV226, and the codename ""Amazon Project"". It is based on the European Fiesta and Fusion MPV, sharing the same Ford B3 platform.",Versions and engines[edit],Transmission,,,The EcoSport also has a 1.5-litre TDCi BS6 diesel engine that outputs 98 bhp (73,"The EcoSport also has a 1.5-litre TDCi BS6 diesel engine that outputs 98 bhp (73 kW) power at 3,750 rpm and 215 N⋅m (159 lbf⋅ft) of torque at 1,750-2,500 rpm.[24] Marketing[edit] India[edit] The Indian market was among the first few to receive EcoSport.[25] The car was manufactured at Ford India's Chennai plant, available in Six trims (Ambiente, Trend, Titanium, Titanium+, Sports & Thunder edition) with the choice of two engine options, 1.5-litre Ti-VCT Dragon series petrol engine and 1.5-litr",,
,,,The EcoSport was available with five straight-four engines:,The EcoSport was available with five straight-four engines:,speed manual,,,"In 2017, the facelifted EcoSport contains 80% Indian parts.[27] Japan[edit] At","In 2017, the facelifted EcoSport contains 80% Indian parts.[27] Japan[edit] At its introduction internationally, it was also made available in Japan, as the smallest companion to the Ford Kuga and the Ford Explorer.[28] All engines except the diesel are offered in Japan, with a five-speed manual or six-speed dual clutch transmission, and optional all-wheel drive.",,
,,,"Wheelbase 2,519 mm (99.2 in)","Zetec-Rocam 1.0 L gasoline 8v supercharged, 70 kW (95 PS) (discontinued in 2006)",speed DCT,,,The dashboard has an optional 8-inch floating touchscreen infotainment system th,The dashboard has an optional 8-inch floating touchscreen infotainment system that supports both Apple CarPlay and Android Auto.[40] Sales of the EcoSport in the US market began in 2018.,,
,,,"On 11 January 2021, Ford announced to shutter three production plants in Brazil as part of cost-saving measures. As a result, production of the EcoSport in Brazil was ceased at immediate effect, with the car discontinued in Brazil, alongside the Ka (Figo) and Troller T4.[23]","Zetec-Rocam 1.6 8v gasoline/ethanol, 82 kW (111 PS)","^ ""2015 BK Ecosport Owner Manuals, Warranties, And Other Information"". Ford Australia. Retrieved 26 November 2023.",,,"The Australian-, Canadian- and US-market EcoSports, made in India, have the rear","The Australian-, Canadian- and US-market EcoSports, made in India, have the rear mounted spare tire as optional on the base model.[41] 2018 Ford EcoSport (facelift) Rear view Interior 2021 facelift[edit] The EcoSport was due to receive a facelift for the Indian market, but was cancelled suddenly as the Sanand plant will be closing in the fourth quarter of 2021 along with the Chennai plant in the second half of 2022.",,
,,,"In 2017, the facelifted EcoSport contains 80% Indian parts.[27]",Duratec 2.0 L gasoline 16v 107 kW (145 PS),,,,You can see available equipment groups and packages on the Ford website and your,You can see available equipment groups and packages on the Ford website and your window sticker.,,
,,,The EcoSport in its most basic Latin American market configuration received 4 stars for adult occupants and 3 stars for toddlers from Latin NCAP 1.0 in March 2013.[33],"Duratorq 1.4 L TDCi Diesel, 50 kW (68 PS) (export only)",,,,Viewing Packages on the Ford Website You can see available packages online: Visi,Viewing Packages on the Ford Website You can see available packages online: Visit the Ford website.,,
,,,Ford Ecosport + 2 Airbags,L EcoBoost (Fox) turbo Ti-VCT I3,,,,New 2024 Ford Ecosport Options.,New 2024 Ford Ecosport Options.,,
