Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,BMW,M235i,"Wheelbase 2,690 mm (105.9 in)","Front-engine, rear-wheel-drive",Transmission,"This article is about the rear-wheel drive coupé/convertible. For other models, see BMW 2 Series.",Predecessor BMW 1 Series (E82/E88),"It came with the same N55B30 engine as the standard M235i, but was equipped with","It came with the same N55B30 engine as the standard M235i, but was equipped with a limited-slip differential, M Performance suspension, and M Performance exhaust, while power seat motors and the sunroof were eliminated to save weight.","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium audio systems, and other interior and exterior options."
,,,"with the M Sport trim and M235-240 models can be fitted with M Performance Parts. These include a splitter, side skirts, lip spoiler and diffuser.","Front-engine, four-wheel-drive (xDrive)",speed manual,,The high-performance F87 M2 model was produced in the coupe body style. It is powered by the BMW N55 and BMW S55 turbocharged inline-six engines.,"^ ""BMW 2 Series Convertible with M Sport package revealed"".","^ ""BMW 2 Series Convertible with M Sport package revealed"".",Wheel styles are extensively coded along with tire and suspension options.,Wheel styles are extensively coded along with tire and suspension options.
,,,"and 2015 Sport Auto ""Best coupé up to €50,000""[32]",Engine,speed automatic,,Convertible models feature a 20% increase in rigidity compared to the E88 1 Series convertible and feature an electric convertible top that can be raised or lowered in 20 seconds at speeds up to 50 km/h (31 mph).[10],"BMW Live Cockpit Professional includes a 10.25"" Control Display and a fully digi","BMW Live Cockpit Professional includes a 10.25"" Control Display and a fully digital 10.25"" instrument display.",,
,,,"Auto Bild Sportscars ""Sports Car of the Year""[36]",L B38 I3 turbo,speed dual-clutch,,"Exterior designed changes including: updated front fascia, hexagonal LED headlights (Adaptive LED pack / option), updated LED taillights, and new alloy designs and exterior paint options[27]",Standard for M Sport and M235i xDrive models.,Standard for M Sport and M235i xDrive models.,,
,,,"Auto motor und sport ""Autonis Best New Design"" in the compact class[37]",L N20/B48 I4 turbo,Convertible models feature a 20% increase in rigidity compared to the E88 1 Series convertible and feature an electric convertible top that can be raised or lowered in 20 seconds at speeds up to 50 km/h (31 mph).[10],,Interior design changes including: a redesigned dashboard and additional leather and cloth options[28],"The models, standard equipment and combinability of equipments in this specifica","The models, standard equipment and combinability of equipments in this specification sheet relate to cars supplied for Indonesian market.",,
,,,"^ Nica, Gabriel (25 October 2013). ""Modern, Sport and M Sport Lines Will Be Available for 2014 BMW 2 Series"". autoevolution. Retrieved 6 October 2019.",L N55/B58/S55 I6 turbo,"^ Capparella, Joey; Beard, David (11 July 2019). ""2019 BMW M2 Competition Is Quickest with a Manual Gearbox"". Car and Driver. Retrieved 6 October 2019.",,Red Dot Good Design Award[31],The availability of the equipment and configurations may vary from country to co,The availability of the equipment and configurations may vary from country to country for all models.,,
,,,"^ ""BMW 2 Series Convertible with M Sport package revealed"". Paul Tan's Automotive News. 22 September 2014. Retrieved 6 October 2019.",Diesel:,,,,"For details of the options available in your country, please speak to your autho","For details of the options available in your country, please speak to your authorized BMW dealer.",,
,,,,L N47/B47 I4 turbo,,,,[ENJOY] All BMW FA Option Codes - description in English All BMWs Jump to Latest,"[ENJOY] All BMW FA Option Codes - description in English All BMWs Jump to Latest 22K views 20 replies 4 participants last post by rams16fan Mar 18, 2026 This document lists BMW option codes and their descriptions.",,
,,,,The high-performance F87 M2 model was produced in the coupe body style. It is powered by the BMW N55 and BMW S55 turbocharged inline-six engines.,,,,"It includes codes for automatic transmissions, leather upholstery, metallic pain","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium audio systems, and other interior and exterior options.",,
,,,,Convertible models feature a 20% increase in rigidity compared to the E88 1 Series convertible and feature an electric convertible top that can be raised or lowered in 20 seconds at speeds up to 50 km/h (31 mph).[10],,,,Wheel styles are extensively coded along with tire and suspension options.,Wheel styles are extensively coded along with tire and suspension options.,,
,,,,Engines[edit],,,,= Standard = Optional - = Not available Only with = these options must be ordere,= Standard = Optional - = Not available Only with = these options must be ordered together Not with = these options are not available for ordering together 1 = Only available on Manual models.,,
,,,,Petrol engines[edit],,,,,,,
,,,,Model Years Engine Power Torque 0–100 km/h (0-62 mph),,,,,,,
,,,,L I3 turbo 100 kW (134 hp),,,,,,,
,,,,L I4 turbo,,,,,,,
