Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Ford,Ecosport,Ford EcoSport,"Layout Front-engine, front-wheel-drive or all-wheel-drive",,,Transmission 5/6-speed manual,All models have front-wheel drive with manual transmission as standard. The 2.0 L model can also receive a four speed automatic transmission (FWD only) or four-wheel drive (manual six speed only).,,,,,,,,The Ford EcoSport (/ˈɛkoʊspɔːrt/ EK-oh-sport) is a subcompact crossover SUV (B-segment) manufactured by Ford between 2003 and 2022.,"In 2011, cumulative sales reached 700,000. Versions and engines The E","In 2011, cumulative sales reached 700,000. Versions and engines The EcoSport was available with five straight-four engines: Zetec-Rocam 1.0 L gasoline 8v supercharged, 70 kW (95 PS) (discontinued in 2006) Zetec-Rocam 1.6 8v gasoline/ethanol, 82 kW (111 PS) Duratec 2.0 L gasoline 16v 107 kW (145 PS) Duratorq 1.4 L TDCi Diesel, 50 kW (68 PS) (export only) All models have front-wheel drive with manual transmission as standard.","Remote start is a stand-alone option for all of them, and apart from the priciest SES whic","Remote start is a stand-alone option for all of them, and apart from the priciest SES which comes standard with the 2.0-liter four-cylinder engine and all-wheel-drive, one has the option to upgrade the other trims with this feature."
,,,The Ford EcoSport (/ˈɛkoʊspɔːrt/ EK-oh-sport) is a subcompact crossover SUV (B-segment) manufactured by Ford between 2003 and 2022.,Engine,,,speed automatic,,,,,,,,,L EcoBlue (Panther) turbo I4,The front suspension received minor reinforcements but remained the same MacPher,The front suspension received minor reinforcements but remained the same MacPherson strut system used in the standard version.,,
,,,"Wheelbase 2,490 mm (98.0 in)",Diesel:,,,All models have front-wheel drive with manual transmission as standard. The 2.0 L model can also receive a four speed automatic transmission (FWD only) or four-wheel drive (manual six speed only).,,,,,,,,,"The three-cylinder engine design causes inherent vibrations, which are countered by a deliberately unbalanced flywheel, which has less friction than balance shafts.","The driveshaft was installed inside the central tunnel, occupying the space norm","The driveshaft was installed inside the central tunnel, occupying the space normally used by the exhaust system in the standard model.",,
,,,The EcoSport was available with five straight-four engines:,The EcoSport was available with five straight-four engines:,,,speed manual,,,,,,,,,,"In 2017, the facelifted EcoSport contains 80% Indian parts. Japan At","In 2017, the facelifted EcoSport contains 80% Indian parts. Japan At its introduction internationally, it was also made available in Japan, as the smallest companion to the Ford Kuga and the Ford Explorer. All engines except the diesel are offered in Japan, with a five-speed manual or six-speed dual clutch transmission, and optional all-wheel drive.",,
,,,"Wheelbase 2,519 mm (99.2 in)","Zetec-Rocam 1.0 L gasoline 8v supercharged, 70 kW (95 PS) (discontinued in 2006)",,,speed DCT,,,,,,,,,,The dashboard has an optional 8-inch floating touchscreen infotainment system th,The dashboard has an optional 8-inch floating touchscreen infotainment system that supports both Apple CarPlay and Android Auto. Sales of the EcoSport in the US market began in 2018.,,
,,,"In 2017, the facelifted EcoSport contains 80% Indian parts.",Duratec 2.0 L gasoline 16v 107 kW (145 PS),,,,,,,,,,,,,Ford does an impressive job with the 2020 EcoSport by making some options availa,Ford does an impressive job with the 2020 EcoSport by making some options available within all its trims.,,
,,,The EcoSport in its most basic Latin American market configuration received 4 stars for adult occupants and 3 stars for toddlers from Latin NCAP 1.0 in March 2013.,"Duratorq 1.4 L TDCi Diesel, 50 kW (68 PS) (export only)",,,,,,,,,,,,,"Remote start is a stand-alone option for all of them, and apart from the pricies","Remote start is a stand-alone option for all of them, and apart from the priciest SES which comes standard with the 2.0-liter four-cylinder engine and all-wheel-drive, one has the option to upgrade the other trims with this feature.",,
,,,Ford Ecosport + 2 Airbags,L EcoBoost (Fox) turbo Ti-VCT I3,,,,,,,,,,,,,"2020 Ford EcoSport Specs, Features & Options Here's everything you need to know","2020 Ford EcoSport Specs, Features & Options Here's everything you need to know about each trim in the 2020 Ford EcoSport lineup.",,
,,,The updated EcoSport in its most basic Latin American market configuration received 5 stars for adult occupants and 3 stars for toddlers from Latin NCAP 1.0 in November 2013.,L EcoBlue (Panther) turbo I4,,,,,,,,,,,,,You can see available equipment groups and packages on the Ford website and your,You can see available equipment groups and packages on the Ford website and your window sticker.,,
,,,Ford Ecosport + 2 Airbags (from August 2013),L Duratorq TDCi (DLD-415) turbo I4,,,,,,,,,,,,,Viewing Packages on the Ford Website You can see available packages online: Visi,Viewing Packages on the Ford Website You can see available packages online: Visit the Ford website.,,
,,,The EcoSport in its standard European market configuration received 4 stars from Euro NCAP in 2013.,"The three-cylinder engine design causes inherent vibrations, which are countered by a deliberately unbalanced flywheel, which has less friction than balance shafts.",,,,,,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,Ford EcoSport (facelift),,,,,,,,,,,,,,Below is a breakdown of standard equipment included at this level.,Below is a breakdown of standard equipment included at this level.,,
,,,"Ford discontinued production of the Ecosport at the Craiova factory in Romania at the end of 2022, but sales will continue from accumulated stock in Europe until the end of 2023.",,,,,,,,,,,,,,,,,
