Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1992,Chrysler,LeBaron,Convertible,"2.5L I4 ((FFS,TRBO))",2.5L I4,,Automatic 3-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.5,16,22,18,,,,,
1992,Chrysler,LeBaron,Convertible,2.5L I4 ((FFS)),2.5L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.5,19,26,22,,,,,
1992,Chrysler,LeBaron,Convertible,"2.5L I4 ((FFS,TRBO))",2.5L I4,,Manual 5-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.5,18,25,21,,,,,
1992,Chrysler,LeBaron,Convertible,3.0L V6 ((FFS)),3.0L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.0,18,24,20,,,,,
1992,Chrysler,LeBaron,Convertible,3.0L V6 ((FFS)),3.0L V6,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.0,16,25,19,,,,,
1992,Chrysler,LeBaron,LeBaron,2.5L I4 ((FFS)),2.5L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.5,20,25,22,,,,,
1992,Chrysler,LeBaron,LeBaron,"2.5L I4 ((FFS,TRBO))",2.5L I4,,Automatic 3-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.5,18,23,20,,,,,
1992,Chrysler,LeBaron,LeBaron,"2.5L I4 ((FFS,TRBO))",2.5L I4,,Manual 5-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.5,18,25,21,,,,,
1992,Chrysler,LeBaron,LeBaron,3.0L V6 ((FFS)),3.0L V6,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,6,3.0,18,24,20,,,,,
1992,Chrysler,LeBaron,LeBaron,3.0L V6 ((FFS)),3.0L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,6,3.0,18,25,20,,,,,
1992,Chrysler,LeBaron,LeBaron,3.0L V6 ((FFS)),3.0L V6,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,6,3.0,18,26,21,,,,,
