Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1997,Saab,900,Convertible,"2.0L I4 (B204L3 (FFS,TRBO))",2.0L I4,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.0,16,24,19,,,,,
1997,Saab,900,Convertible,"2.0L I4 (B204L3 (FFS,TRBO))",2.0L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.0,18,25,20,,,,,
1997,Saab,900,Convertible,2.3L I4 (B234I3 (FFS)),2.3L I4,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,17,25,20,,,,,
1997,Saab,900,Convertible,2.3L I4 (B234I3 (FFS)),2.3L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.3,18,26,21,,,,,
1997,Saab,900,Convertible,2.5L V6 (B258I3 (FFS)),2.5L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.5,17,23,19,,,,,
1997,Saab,900,900,"2.0L I4 (B204L3 (FFS,TRBO))",2.0L I4,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.0,16,24,19,,,,,
1997,Saab,900,900,"2.0L I4 (B204L3 (FFS,TRBO))",2.0L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.0,18,25,20,,,,,
1997,Saab,900,900,2.3L I4 (B234I3 (FFS)),2.3L I4,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,17,25,20,,,,,
1997,Saab,900,900,2.3L I4 (B234I3 (FFS)),2.3L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,18,26,21,,,,,
1997,Saab,900,900,2.5L V6 (B258I3 (FFS)),2.5L V6,,Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.5,17,23,19,,,,,
